question comparison,question transition,body comparison,body transition,paraphrase comparison,paraphrase transition,answer
How many paintings does Hannah have in total?,How many paintings does Logan have now?,Logan has 18 paintings. Logan has 9 more paintings than Layla. Layla has 3 more paintings than Hannah.,Logan has 18 paintings. Logan gave Layla 9 paintings. Logan gave Hannah 3 paintings.,Logan has 18 paintings. Logan has 9 more paintings than Layla. Layla has 3 more paintings than Hannah. How many paintings does Hannah have in total?,Logan has 18 paintings. Logan gave Layla 9 paintings. Logan gave Hannah 3 paintings. How many paintings does Logan have now?,6
How many kilograms of gold does Liam have?,How many kilograms of gold does Elijah have now?,Elijah has 8 kilograms of gold. Sophia has 13 kilograms of gold more than Elijah. Liam has 3 kilograms of gold more than Sophia.,Elijah has 8 kilograms of gold. Sophia gave Elijah 13 kilograms of gold. Liam gave Elijah 3 kilograms of gold.,Elijah has 8 kilograms of gold. Sophia has 13 kilograms more gold than Elijah. Liam has 3 kilograms more gold than Sophia. How many kilograms of gold does Liam have?,Elijah has 8 kilograms of gold. Sophia gave Elijah 13 kilograms of gold. Liam gave Elijah 3 kilograms of gold. How many kilograms of gold does Elijah have now?,24
How many acres of farmland does Lily have?,How many acres of farmland does Amelia have now?,Amelia has 7 acres of farmland. Natalie has 7 acres of farmland less than Amelia. Natalie has 2 acres of farmland less than Lily.,Amelia has 7 acres of farmland. Amelia gave Natalie 7 acres of farmland. Lily gave Amelia 2 acres of farmland.,Amelia has 7 acres of farmland. Natalie has 7 acres of farmland fewer than Amelia. Natalie has 2 acres of farmland fewer than Lily. How many acres of farmland does Lily have?,Amelia has 7 acres of farmland. Amelia gave Natalie 7 acres of farmland. Lily gave Amelia 2 acres of farmland. How many acres of farmland does Amelia have now?,2
What is the number of small plates that Scarlett has?,What is the number of small plates that Sophia has now?,Sophia has 5 small plates. William has 4 more small plates than Sophia. William has 4 more small plates than Joshua. Joshua has 2 fewer small plates than Scarlett.,Sophia has 5 small plates. William gave Sophia 4 small plates. Sophia gave Joshua 4 small plates. Scarlett gave Sophia 2 small plates.,Sophia has 5 small plates. William has 4 more small plates than Sophia. William has 4 more small plates than Joshua. Joshua has 2 fewer small plates than Scarlett. What is the number of small plates that Scarlett has?,Sophia has 5 small plates. William gave Sophia 4 small plates. Sophia gave Joshua 4 small plates. Scarlett gave Sophia 2 small plates. What is the number of small plates that Sophia has now?,7
How many grams of butter does Jackson have?,How many grams of butter does Andrew have now?,Andrew has 19 grams of butter. John has 6 grams of butter more than Andrew. Lily has 2 grams of butter more than John. Lily has 11 grams of butter more than Christian. Christian has 17 grams of butter less than Harper. Harper has 3 grams of butter more than Jackson.,Andrew has 19 grams of butter. John gave Andrew 6 grams of butter. Lily gave Andrew 2 grams of butter. Andrew gave Christian 11 grams of butter. Harper gave Andrew 17 grams of butter. Andrew gave Jackson 3 grams of butter.,Andrew has 19 grams of butter. John has 6 grams more butter than Andrew. Lily has 2 grams more butter than John. Lily has 11 grams more butter than Christian. Christian has 17 grams less butter than Harper. Harper has 3 grams more butter than Jackson. How many grams of butter does Jackson have?,Andrew has 19 grams of butter. John gave Andrew 6 grams of butter. Lily gave Andrew 2 grams of butter. Andrew gave Christian 11 grams of butter. Harper gave Andrew 17 grams of butter. Andrew gave Jackson 3 grams of butter. How many grams of butter does Andrew have now?,30
What is the number of red tables that Logan has?,What is the number of red tables that Olivia has now?,Olivia has 18 red tables. Olivia has 9 more red tables than Logan.,Olivia has 18 red tables. Olivia gave Logan 9 red tables.,Olivia has 18 red tables. Olivia has 9 more red tables than Logan. What is the number of red tables that Logan has?,Olivia has 18 red tables. Olivia gave Logan 9 red tables. What is the number of red tables that Olivia has now?,9
How many kilowatt-hours of emergency energy reserve does Harper have?,How many kilowatt-hours of emergency energy reserve does John have now?,John has 11 kilowatt-hours of emergency energy reserve. John has 16 kilowatt-hours of emergency energy reserve less than Christopher. Harper has 14 kilowatt-hours of emergency energy reserve more than Christopher.,John has 11 kilowatt-hours of emergency energy reserve. Christopher gave John 16 kilowatt-hours of emergency energy reserve. Harper gave John 14 kilowatt-hours of emergency energy reserve.,John has 11 kilowatt-hours of emergency energy reserve. John has 16 kilowatt-hours less of emergency energy reserve than Christopher. Harper has 14 kilowatt-hours more of emergency energy reserve than Christopher. How many kilowatt-hours of emergency energy reserve does Harper have?,John has 11 kilowatt-hours of emergency energy reserve. Christopher gave John 16 kilowatt-hours of emergency energy reserve. Harper gave John 14 kilowatt-hours of emergency energy reserve. How many kilowatt-hours of emergency energy reserve does John have now?,41
What is the number of orange shampoos that Nathan has?,What is the number of orange shampoos that Jonathan has now?,Jonathan has 15 orange shampoos. Jonathan has 3 more orange shampoos than Lucy. Lucy has 2 more orange shampoos than Ella. Ella has 7 more orange shampoos than Andrew. Andrew has 5 fewer orange shampoos than Nathan.,Jonathan has 15 orange shampoos. Jonathan gave Lucy 3 orange shampoos. Jonathan gave Ella 2 orange shampoos. Jonathan gave Andrew 7 orange shampoos. Nathan gave Jonathan 5 orange shampoos.,Jonathan has 15 orange shampoos. Jonathan has 3 more orange shampoos than Lucy. Lucy has 2 more orange shampoos than Ella. Ella has 7 more orange shampoos than Andrew. Andrew has 5 fewer orange shampoos than Nathan. What is the number of orange shampoos that Nathan has?,"Jonathan has 15 orange shampoos. He gave Lucy 3 orange shampoos, Ella 2 orange shampoos, and Andrew 7 orange shampoos. Nathan gave Jonathan 5 orange shampoos. What is the number of orange shampoos that Jonathan has now?",8
How many wallets does Sofia have totaled?,How many wallets does Elizabeth have in their collection now?,Elizabeth has 11 wallets. David has 17 more wallets than Elizabeth. David has 14 more wallets than Nicholas. Chloe has 16 more wallets than Nicholas. Sofia has 20 more wallets than Chloe.,Elizabeth has 11 wallets. David gave Elizabeth 17 wallets. Elizabeth gave 14 wallets to Nicholas. Chloe gave Elizabeth 16 wallets. Sofia gave Elizabeth 20 wallets.,Elizabeth has 11 wallets. David has 17 wallets more than Elizabeth. David has 14 wallets more than Nicholas. Chloe has 16 wallets more than Nicholas. Sofia has 20 wallets more than Chloe. How many wallets does Sofia have in total?,Elizabeth has 11 wallets. David gave Elizabeth 17 wallets. Elizabeth gave 14 wallets to Nicholas. Chloe gave Elizabeth 16 wallets. Sofia gave Elizabeth 20 wallets. How many wallets does Elizabeth have in her collection now?,50
What is the number of small mouses that Liam has?,What is the number of small mouses that Emily has now?,Emily has 3 small mouses. Emily has 2 more small mouses than Andrew. Andrew has 2 fewer small mouses than Liam.,Emily has 3 small mouses. Emily gave Andrew 2 small mouses. Liam gave Emily 2 small mouses.,Emily has 3 small mice. Emily has 2 more small mice than Andrew. Andrew has 2 fewer small mice than Liam. What is the number of small mice that Liam has?,Emily has 3 small mice. Emily gave Andrew 2 small mice. Liam gave Emily 2 small mice. What is the number of small mice that Emily has now?,3
How many computers does David have in total?,How many computers does Alexander have in all now?,Alexander has 14 computers. Alexander has 17 fewer computers than Ryan. Christopher has 2 fewer computers than Ryan. David has 3 fewer computers than Christopher.,Alexander has 14 computers. Ryan gave 17 computers to Alexander. Alexander gave Christopher 2 computers. Alexander gave 3 computers to David.,Alexander has 14 computers. Alexander has 17 fewer computers than Ryan. Christopher has 2 fewer computers than Ryan. David has 3 fewer computers than Christopher. How many computers does David have in total?,Alexander has 14 computers. Ryan gave 17 computers to Alexander. Alexander gave Christopher 2 computers. Alexander gave 3 computers to David. How many computers does Alexander have now in total?,26
How many kilowatt-hours of emergency energy reserve does Daniel have?,How many kilowatt-hours of emergency energy reserve does Victoria have now?,Victoria has 19 kilowatt-hours of emergency energy reserve. Victoria has 5 kilowatt-hours of emergency energy reserve more than Joshua. Joshua has 19 kilowatt-hours of emergency energy reserve less than Matthew. Olivia has 9 kilowatt-hours of emergency energy reserve less than Matthew. Olivia has 5 kilowatt-hours of emergency energy reserve more than James. Daniel has 18 kilowatt-hours of emergency energy reserve less than James.,Victoria has 19 kilowatt-hours of emergency energy reserve. Victoria gave Joshua 5 kilowatt-hours of emergency energy reserve. Matthew gave Victoria 19 kilowatt-hours of emergency energy reserve. Victoria gave Olivia 9 kilowatt-hours of emergency energy reserve. Victoria gave James 5 kilowatt-hours of emergency energy reserve. Victoria gave Daniel 18 kilowatt-hours of emergency energy reserve.,Victoria has 19 kilowatt-hours of emergency energy reserve. Victoria has 5 kilowatt-hours more emergency energy reserve than Joshua. Joshua has 19 kilowatt-hours less emergency energy reserve than Matthew. Olivia has 9 kilowatt-hours less emergency energy reserve than Matthew. Olivia has 5 kilowatt-hours more emergency energy reserve than James. Daniel has 18 kilowatt-hours less emergency energy reserve than James. How many kilowatt-hours of emergency energy reserve does Daniel have?,Victoria has 19 kilowatt-hours of emergency energy reserve. Victoria gave Joshua 5 kilowatt-hours of emergency energy reserve. Matthew gave Victoria 19 kilowatt-hours of emergency energy reserve. Victoria gave Olivia 9 kilowatt-hours of emergency energy reserve. Victoria gave James 5 kilowatt-hours of emergency energy reserve. Victoria gave Daniel 18 kilowatt-hours of emergency energy reserve. How many kilowatt-hours of emergency energy reserve does Victoria have now?,1
How many kilograms of gold does Layla have?,How many kilograms of gold does Samuel have now?,Samuel has 20 kilograms of gold. Samuel has 19 kilograms of gold more than Amelia. Amelia has 20 kilograms of gold less than William. Jackson has 15 kilograms of gold less than William. Jackson has 6 kilograms of gold less than Layla.,Samuel has 20 kilograms of gold. Samuel gave Amelia 19 kilograms of gold. William gave Samuel 20 kilograms of gold. Samuel gave Jackson 15 kilograms of gold. Layla gave Samuel 6 kilograms of gold.,Samuel has 20 kilograms of gold. Samuel has 19 kilograms more gold than Amelia. Amelia has 20 kilograms less gold than William. Jackson has 15 kilograms less gold than William. Jackson has 6 kilograms less gold than Layla. How many kilograms of gold does Layla have?,Samuel has 20 kilograms of gold. Samuel gave Amelia 19 kilograms of gold. William gave Samuel 20 kilograms of gold. Samuel gave Jackson 15 kilograms of gold. Layla gave Samuel 6 kilograms of gold. How many kilograms of gold does Samuel have now?,12
How many acres of farmland does Michael have?,How many acres of farmland does Ella have now?,Ella has 15 acres of farmland. Charlotte has 3 acres of farmland less than Ella. Charlotte has 4 acres of farmland more than Michael.,Ella has 15 acres of farmland. Ella gave Charlotte 3 acres of farmland. Ella gave Michael 4 acres of farmland.,Ella has 15 acres of farmland. Charlotte has 3 acres less than Ella. Charlotte has 4 acres more than Michael. How many acres of farmland does Michael have?,Ella has 15 acres of farmland. Ella gave Charlotte 3 acres of farmland. Ella gave Michael 4 acres of farmland. How many acres of farmland does Ella have now?,8
How many liters of milk does Charlotte have?,How many liters of milk does Lily have now?,Lily has 11 liters of milk. Lily has 5 liters of milk more than Layla. Layla has 6 liters of milk more than Natalie. Natalie has 19 liters of milk less than Nathan. Nathan has 3 liters of milk less than Henry. Charlotte has 13 liters of milk less than Henry.,Lily has 11 liters of milk. Lily gave Layla 5 liters of milk. Lily gave Natalie 6 liters of milk. Nathan gave Lily 19 liters of milk. Henry gave Lily 3 liters of milk. Lily gave Charlotte 13 liters of milk.,Lily has 11 liters of milk. Lily has 5 liters more milk than Layla. Layla has 6 liters more milk than Natalie. Natalie has 19 liters less milk than Nathan. Nathan has 3 liters less milk than Henry. Charlotte has 13 liters less milk than Henry. How many liters of milk does Charlotte have?,Lily has 11 liters of milk. Lily gave Layla 5 liters of milk. Lily gave Natalie 6 liters of milk. Nathan gave Lily 19 liters of milk. Henry gave Lily 3 liters of milk. Lily gave Charlotte 13 liters of milk. How many liters of milk does Lily have now?,9
